id,poi_name,poi_id,verified,country,tweet_text,tweet_lang,text_en,mentions,tweet_date,hashtags,tweet_emoticons,text_hi,tweet_urls,text_es
1466382296961871874,mansukhmandviya,432697203,True,India,RT @narendramodi: Reviewed preparedness to deal with Cyclone Jawad including timely evacuation of those in affected areas and ensuring main…,en,: Reviewed preparedness to deal with Cyclone Jawad including timely evacuation of those in affected areas and ensuring main,['narendramodi'],2021-12-02T12:00:00Z,,,,,
1466321462017495040,mansukhmandviya,432697203,True,India,"RT @BJP4India: India has administered 125 crore vaccines, strengthening our fight against COVID. 

Get yourself vaccinated and contribute t…",en,": India has administered crore vaccines, strengthening our fight against COVID. Get yourself vaccinated and contribute t",['BJP4India'],2021-12-02T08:00:00Z,,,,,
1466284893705420805,mansukhmandviya,432697203,True,India,"सबका साथ, सबका प्रयास 💉

Yet another proud moment for every Indian as the nation hits the 125-Crore vaccination mark!

As 🇮🇳 intensifies the #HarGharDastak campaign, the country is marching ahead with a new zeal &amp; new energy in its fight against #COVID19. https://t.co/j61nAyAkX3",en,", Yet another proud moment for every Indian as the nation hits the -Crore vaccination mark!As intensifies the campaign, the country is marching ahead with a new zeal &amp; new energy in its fight against .",,2021-12-02T06:00:00Z,"['HarGharDastak', 'COVID19']","['🇮🇳', '💉']",,,
1466217049273864196,mansukhmandviya,432697203,True,India,"विश्व के सबसे बड़े राजनीतिक संगठन भाजपा के राष्ट्रीय अध्यक्ष श्री @JPNadda जी को उनके जन्मदिन पर हार्दिक शुभकामनाएं।

आपके नेतृत्व में भाजपा का प्रत्येक कार्यकर्ता जनसेवा के कार्य में तन्मयता से लगा है।

ईश्वर से आपके उत्तम स्वास्थ्य एवं सुदीर्घ जीवन की कामना करता हूँ। https://t.co/ORom84kxyk",hi,,['JPNadda'],2021-12-02T01:00:00Z,,,,,
1466064608012107780,mansukhmandviya,432697203,True,India,"बिलासपुर, छत्तीसगढ़ में 90 वर्ष के बुजुर्ग ने लगवाई कोरोना वैक्सीन।

अगर आपने अभी तक वैक्सीन नहीं लगवाई है तो तुरंत लगवाइए। #HarGharDastak https://t.co/0J4Xn7hC5D",hi,,,2021-12-01T15:00:00Z,['HarGharDastak'],,",",,
1465911511713398790,mansukhmandviya,432697203,True,India,"RT @narendramodi: I would urge my young friends, specially those in the world of start-ups, tech and innovation to know more about the InFi…",en,": I would urge my young friends, specially those in the world of start-ups, tech and innovation to know more about the InFi",['narendramodi'],2021-12-01T05:00:00Z,,,,,
1465911506055294976,mansukhmandviya,432697203,True,India,"RT @narendramodi: The InFinity Forum has an interesting theme- ‘Beyond.’ As the name suggests, it will set the tone for stakeholders to thi…",en,": The InFinity Forum has an interesting theme- Beyond. As the name suggests, it will set the tone for stakeholders to thi",['narendramodi'],2021-12-01T05:00:00Z,,,,,
1465911491375157250,mansukhmandviya,432697203,True,India,"RT @narendramodi: On Friday, 3rd December at 10 AM a very interesting programme will take place to mark the launch of InFinity Forum. This…",en,": On Friday, rd December at AM a very interesting programme will take place to mark the launch of InFinity Forum. This",['narendramodi'],2021-12-01T05:00:00Z,,,,,
1465902289437270016,mansukhmandviya,432697203,True,India,"हर गाँव - हर घर तक ज़ारी है टीकाकरण अभियान।

#HarGharDastak https://t.co/FuFcGmkOji",hi,,,2021-12-01T05:00:00Z,['HarGharDastak'],,-,,
1465887002432266244,mansukhmandviya,432697203,True,India,"Greetings to all @BSF_India personnel on their Raising Day. The BSF is India’s first line of defence. 

They play a very important role in safeguarding our borders and also assist citizens during natural calamities. I salute their courage and sacrifice. #BSFRaisingDay https://t.co/LNeD2Nmxkx",en,Greetings to all personnel on their Raising Day. The BSF is Indias first line of defence. They play a very important role in safeguarding our borders and also assist citizens during natural calamities. I salute their courage and sacrifice.,['BSF_India'],2021-12-01T04:00:00Z,['BSFRaisingDay'],,,,
1465859443032137733,mansukhmandviya,432697203,True,India,"On #WorldAIDSDay, let us all pledge to work towards ensuring that people infected with &amp; affected by HIV/AIDS lead a normal life sans discrimination and social stigma. https://t.co/2zJuDRW5DN",en,"On , let us all pledge to work towards ensuring that people infected with &amp; affected by HIV/AIDS lead a normal life sans discrimination and social stigma.",,2021-12-01T02:00:00Z,['WorldAIDSDay'],,,,
1465635950373998592,mansukhmandviya,432697203,True,India,"भारत आज 'Pharmacy of the world' है। आज सारी दुनिया जो 6 टेबलेट खाती है, उसमें से 1 भारत में बनी जेनरिक मेडिसिन होती है।

देश में 2.25 करोड़ से अधिक लोगों को आयुष्मान योजना का लाभ मिल चुका है। देश को मेडिकल डिवाइस में आत्मनिर्भर बनाने के लिए 4 मेडिकल डिवाइस पार्क मंजूर किए गए है। https://t.co/jbcjwm6kOq",hi,,,2021-11-30T11:00:00Z,,,"'Pharmacy of the world' ,",,
1465601324481855495,mansukhmandviya,432697203,True,India,"हम चले सुरक्षित करने, अपने देश और परिवार को
ना रुकें, थमें हम तब तक, जब तक पूरा ना करेंगे इस काम को

कार्बी आंगलोंग जिला, असम #HarGharDastak https://t.co/FkpppndX4v",hi,,,2021-11-30T09:00:00Z,['HarGharDastak'],,", , , ,",,
1465561513242947584,mansukhmandviya,432697203,True,India,"Extremely proud of Ms #MatildaKullu, ASHA behen &amp; #COVID warrior from Odisha’s Sundargarh district, who has been featured in @ForbesIndia W-Power 2021 list.

She has played a crucial role in ending superstition related to health ailments. https://t.co/P0gY89l87U",en,"Extremely proud of Ms , ASHA behen &amp; warrior from Odishas Sundargarh district, who has been featured in W-Power list.She has played a crucial role in ending superstition related to health ailments.",['ForbesIndia'],2021-11-30T06:00:00Z,"['MatildaKullu', 'COVID']",,,,
1465551094495522819,mansukhmandviya,432697203,True,India,"Government healthcare spend up at 41% in FY18 from 29% in FY14 
https://t.co/2V7bE5X0ZZ

via NaMo App https://t.co/qDiQGSJHjz",en,Government healthcare spend up at % in FY18 from % in FY14 NaMo App,,2021-11-30T05:00:00Z,,,,['https://t.co/2V7bE5X0ZZ'],
1465307879087521795,mansukhmandviya,432697203,True,India,"Creating A Healthy India: Modi Govt is leaving no stone unturned to ensure top quality &amp; affordable healthcare for all citizens:

⬆️ Increase in share of Government health expenditure 

⬇️ Decline in Per Capita Out-of-Pocket expenditure

📖 https://t.co/BiSK0AAChn https://t.co/dWVaqSbJPn",en,Creating A Healthy India: Modi Govt is leaving no stone unturned to ensure top quality &amp; affordable healthcare for all citizens: Increase in share of Government health expenditure Decline in Per Capita Out-of-Pocket expenditure,,2021-11-29T13:00:00Z,,"['⬇️', '📖', '⬆️', 'xp']",,['https://t.co/BiSK0AAChn'],
1465214605878202368,mansukhmandviya,432697203,True,India,"पिछले सत्र के बाद कोरोना की विकट परिस्थिति में भी देश ने कोरोना वैक्सीन की 100 करोड़ से अधिक डोज का आंकड़ा पार कर लिया है और 150 करोड़ की ओर अग्रसर है।

नए वेरिएंट की खबरें भी हमें और सतर्क करती है, और सजग करती हैं : PM @NarendraModi जी https://t.co/y0lqQ4wzEZ",hi,,['narendramodi'],2021-11-29T07:00:00Z,,,", : PM",,
1465200661855817736,mansukhmandviya,432697203,True,India,"Rajesh Prajapati, a beneficiary of Ayushman Bharat thanks PM @NarendraModi ji during Mann Ki Baat
https://t.co/eGCbCYeWJf

via NaMo App https://t.co/Itfkt8a8tl",in,,['narendramodi'],2021-11-29T06:00:00Z,,,,['https://t.co/eGCbCYeWJf'],
1465184692064423936,mansukhmandviya,432697203,True,India,RT @narendramodi: Speaking at the start of the Parliament session. https://t.co/IvHdsOocbx,en,: Speaking at the start of the Parliament session.,['narendramodi'],2021-11-29T05:00:00Z,,,,['https://t.co/IvHdsOocbx'],
1464956096980795393,mansukhmandviya,432697203,True,India,"निरंतर जारी #HarGharDask अभियान।

सरगुजा, छत्तीसगढ़ में किया गया टीकाकरण https://t.co/Swugi2reCN",hi,,,2021-11-28T14:00:00Z,['HarGharDask'],,",",,
